
[f1756, 16, [4, 4, 8]]
[0892b, 17, [4, 8, 5]]
[e678b, 22, [4, 8, 10]]
[91bf5, 19, [4, 11, 4]]
[63012, 14, [3, 4, 7]]
[278df, 15, [4, 8, 3]]
[f8ab1, 14, [4, 7, 3]]
[1640f, 15, [4, 6, 5]]
[0d8af, 19, [4, 9, 6]]
[394de, 11, [4, 3, 4]]
[d0276, 15, [4, 8, 3]]
[2d98a, 15, [4, 8, 3]]
[b3860, 18, [4, 12, 2]]
[04da6, 20, [4, 12, 4]]
[82fc0, 19, [4, 9, 6]]
[c4aed, 14, [4, 5, 5]]
[d495f, 17, [4, 7, 6]]
[0a4b3, 12, [4, 5, 3]]
[6cf4e, 17, [4, 7, 6]]
[6e5d9, 14, [4, 4, 6]]
[15236, 14, [3, 5, 6]]
[c6b38, 18, [4, 9, 5]]
[3f195, 15, [4, 8, 3]]
[4dfa3, 12, [4, 5, 3]]
[9f65e, 14, [4, 5, 5]]
[b6fc9, 17, [4, 7, 6]]
[38fec, 16, [4, 8, 4]]
